primary_goal,weight,height,body_type,past_injury,body_goal,fitness_experience,last_ideal_weight_time,work_schedule,typical_day,Assigned Program
Healthy Habits,72,154,Obese,Head region,Athletic,Easily Gain and Lose,Less than 1 year,Retired,Sitting Most of Day,Program 5
Healthy Habits,73,160,Stocky,Chest region,Toned,Easily Gain and Lose,1-2 years,Flexible,Active Breaks,Program 5
Weight Loss,79,187,Medium Build,Head region,Muscular,Gain Easily Struggle to Lose,1-2 years,9 to 5,Standing All Day,Program 19
Get in Shape,120,180,Medium Build,Arm region,Toned,Gain Easily Struggle to Lose,1-2 years,Night Shift,Standing All Day,Program 3
Weight Loss,118,164,Medium Build,Arm region,Toned,Gain Easily Struggle to Lose,Never,9 to 5,Active Breaks,Program 19
Healthy Habits,60,187,Obese,Arm region,Toned,Easily Gain and Lose,1-2 years,Retired,Standing All Day,Program 14
Weight Loss,75,164,Slim,Chest region,Athletic,Gain Easily Struggle to Lose,More than 3 years,Night Shift,Standing All Day,Program 12
Healthy Habits,56,177,Medium Build,Leg region,Toned,Gain Easily Struggle to Lose,Never,Flexible,Standing All Day,Program 20
Healthy Habits,51,150,Obese,Leg region,Toned,Struggle to Build Muscle,1-2 years,Retired,Sitting Most of Day,Program 5
Healthy Habits,120,161,Obese,Arm region,Muscular,Struggle to Build Muscle,Less than 1 year,Night Shift,Standing All Day,Program 5
Weight Loss,56,177,Medium Build,Arm region,Athletic,Easily Gain and Lose,More than 3 years,Night Shift,Standing All Day,Program 12
Weight Loss,63,192,Slim,Arm region,Athletic,Easily Gain and Lose,Never,Flexible,Active Breaks,Program 4
Healthy Habits,119,172,Slim,Arm region,Athletic,Struggle to Build Muscle,More than 3 years,9 to 5,Standing All Day,Program 5
Healthy Habits,85,171,Obese,Arm region,Drop Sizes,Gain Easily Struggle to Lose,Less than 1 year,Flexible,Sitting Most of Day,Program 20
Get in Shape,68,171,Medium Build,None,Drop Sizes,Struggle to Build Muscle,Less than 1 year,Night Shift,Active Breaks,Program 15
Healthy Habits,51,150,Obese,Head region,Toned,Struggle to Build Muscle,1-2 years,Retired,Active Breaks,Program 14
Weight Loss,76,183,Slim,None,Drop Sizes,Easily Gain and Lose,More than 3 years,9 to 5,Active Breaks,Program 12
Weight Loss,53,187,Stocky,Foot region,Toned,Easily Gain and Lose,More than 3 years,Retired,Standing All Day,Program 12
Get in Shape,72,177,Stocky,Chest region,Muscular,Easily Gain and Lose,1-2 years,Flexible,Standing All Day,Program 5
Get in Shape,53,168,Stocky,Chest region,Toned,Struggle to Build Muscle,1-2 years,Retired,Sitting Most of Day,Program 5
Healthy Habits,52,171,Slim,Foot region,Muscular,Struggle to Build Muscle,1-2 years,9 to 5,Standing All Day,Program 14
Get in Shape,104,175,Medium Build,Head region,Drop Sizes,Easily Gain and Lose,Less than 1 year,Flexible,Sitting Most of Day,Program 5
Get in Shape,86,150,Obese,Leg region,Muscular,Easily Gain and Lose,More than 3 years,Retired,Sitting Most of Day,Program 5
Weight Loss,113,182,Stocky,Leg region,Drop Sizes,Easily Gain and Lose,More than 3 years,Flexible,Sitting Most of Day,Program 4
Weight Loss,94,188,Obese,Arm region,Muscular,Struggle to Build Muscle,Less than 1 year,Retired,Standing All Day,Program 12
Weight Loss,108,198,Medium Build,Leg region,Drop Sizes,Gain Easily Struggle to Lose,Never,Night Shift,Standing All Day,Program 19
Healthy Habits,64,169,Obese,Chest region,Drop Sizes,Gain Easily Struggle to Lose,Less than 1 year,Night Shift,Sitting Most of Day,Program 20
Weight Loss,71,156,Slim,Head region,Muscular,Struggle to Build Muscle,Never,Retired,Active Breaks,Program 19
Get in Shape,70,197,Medium Build,Leg region,Athletic,Struggle to Build Muscle,1-2 years,Night Shift,Active Breaks,Program 5
Weight Loss,72,199,Medium Build,Chest region,Toned,Struggle to Build Muscle,1-2 years,9 to 5,Standing All Day,Program 12
Weight Loss,89,198,Medium Build,Head region,Drop Sizes,Easily Gain and Lose,1-2 years,Flexible,Sitting Most of Day,Program 4
Weight Loss,100,175,Medium Build,None,Toned,Gain Easily Struggle to Lose,More than 3 years,Night Shift,Active Breaks,Program 4
Weight Loss,88,160,Slim,None,Toned,Struggle to Build Muscle,1-2 years,9 to 5,Active Breaks,Program 19
Healthy Habits,86,199,Medium Build,Head region,Drop Sizes,Gain Easily Struggle to Lose,Never,9 to 5,Sitting Most of Day,Program 5
Get in Shape,102,163,Slim,Arm region,Drop Sizes,Easily Gain and Lose,Less than 1 year,9 to 5,Sitting Most of Day,Program 5
Get in Shape,69,190,Obese,Foot region,Athletic,Easily Gain and Lose,1-2 years,9 to 5,Standing All Day,Program 3
Healthy Habits,56,165,Slim,Chest region,Drop Sizes,Easily Gain and Lose,Less than 1 year,Flexible,Sitting Most of Day,Program 5
Weight Loss,74,156,Stocky,Head region,Athletic,Easily Gain and Lose,More than 3 years,9 to 5,Sitting Most of Day,Program 19
Weight Loss,109,174,Medium Build,Arm region,Muscular,Easily Gain and Lose,More than 3 years,Night Shift,Standing All Day,Program 12
Healthy Habits,63,181,Medium Build,Foot region,Toned,Gain Easily Struggle to Lose,1-2 years,9 to 5,Sitting Most of Day,Program 14
Get in Shape,55,159,Stocky,Foot region,Muscular,Struggle to Build Muscle,1-2 years,9 to 5,Standing All Day,Program 15
Healthy Habits,52,185,Medium Build,Head region,Athletic,Struggle to Build Muscle,Never,9 to 5,Standing All Day,Program 14
Weight Loss,96,195,Stocky,Head region,Toned,Easily Gain and Lose,More than 3 years,Night Shift,Sitting Most of Day,Program 12
Weight Loss,91,173,Stocky,Foot region,Athletic,Struggle to Build Muscle,Less than 1 year,Flexible,Standing All Day,Program 4
Healthy Habits,51,195,Stocky,Arm region,Athletic,Easily Gain and Lose,Less than 1 year,Flexible,Sitting Most of Day,Program 5
Healthy Habits,117,197,Stocky,Head region,Athletic,Struggle to Build Muscle,Less than 1 year,Flexible,Active Breaks,Program 20
Get in Shape,117,159,Medium Build,Chest region,Toned,Easily Gain and Lose,Less than 1 year,9 to 5,Standing All Day,Program 5
Weight Loss,58,181,Slim,Foot region,Athletic,Gain Easily Struggle to Lose,Never,Flexible,Sitting Most of Day,Program 19
Get in Shape,78,188,Slim,Leg region,Athletic,Struggle to Build Muscle,Never,Flexible,Active Breaks,Program 5
Healthy Habits,56,151,Stocky,Chest region,Drop Sizes,Struggle to Build Muscle,Less than 1 year,Retired,Active Breaks,Program 20
Weight Loss,118,192,Slim,None,Athletic,Struggle to Build Muscle,1-2 years,Flexible,Active Breaks,Program 19
Healthy Habits,93,186,Medium Build,Leg region,Toned,Struggle to Build Muscle,1-2 years,9 to 5,Active Breaks,Program 20
Get in Shape,60,170,Stocky,Foot region,Athletic,Gain Easily Struggle to Lose,1-2 years,9 to 5,Sitting Most of Day,Program 3
Weight Loss,90,175,Stocky,Foot region,Toned,Struggle to Build Muscle,More than 3 years,Flexible,Standing All Day,Program 12
Healthy Habits,52,160,Slim,Leg region,Drop Sizes,Struggle to Build Muscle,Less than 1 year,9 to 5,Standing All Day,Program 5
Weight Loss,100,170,Medium Build,Chest region,Athletic,Easily Gain and Lose,1-2 years,Retired,Standing All Day,Program 4
Get in Shape,120,194,Stocky,Foot region,Toned,Easily Gain and Lose,1-2 years,9 to 5,Standing All Day,Program 5
Weight Loss,98,187,Obese,Head region,Muscular,Struggle to Build Muscle,Never,Night Shift,Standing All Day,Program 4
Get in Shape,112,154,Medium Build,None,Muscular,Easily Gain and Lose,Less than 1 year,Flexible,Sitting Most of Day,Program 3
Weight Loss,114,156,Medium Build,Arm region,Athletic,Gain Easily Struggle to Lose,1-2 years,Night Shift,Standing All Day,Program 12
Get in Shape,111,165,Slim,Leg region,Muscular,Struggle to Build Muscle,Never,9 to 5,Active Breaks,Program 3
Weight Loss,77,172,Stocky,Foot region,Muscular,Gain Easily Struggle to Lose,Never,Retired,Sitting Most of Day,Program 4
Weight Loss,103,179,Medium Build,Arm region,Muscular,Struggle to Build Muscle,1-2 years,9 to 5,Sitting Most of Day,Program 4
Weight Loss,80,150,Medium Build,Foot region,Athletic,Easily Gain and Lose,More than 3 years,Retired,Standing All Day,Program 4
Get in Shape,67,199,Stocky,Head region,Drop Sizes,Easily Gain and Lose,1-2 years,Retired,Standing All Day,Program 5
Get in Shape,88,167,Obese,Arm region,Athletic,Gain Easily Struggle to Lose,1-2 years,9 to 5,Sitting Most of Day,Program 5
Healthy Habits,81,181,Medium Build,None,Muscular,Gain Easily Struggle to Lose,Less than 1 year,Retired,Standing All Day,Program 5
Get in Shape,98,178,Obese,Leg region,Muscular,Struggle to Build Muscle,More than 3 years,Retired,Sitting Most of Day,Program 5
Get in Shape,99,178,Stocky,Foot region,Muscular,Easily Gain and Lose,Less than 1 year,Night Shift,Sitting Most of Day,Program 5
Weight Loss,59,187,Obese,None,Toned,Struggle to Build Muscle,Less than 1 year,Night Shift,Standing All Day,Program 4
Weight Loss,90,199,Slim,Chest region,Athletic,Easily Gain and Lose,Never,Retired,Sitting Most of Day,Program 19
Healthy Habits,105,174,Medium Build,Arm region,Toned,Easily Gain and Lose,More than 3 years,Night Shift,Active Breaks,Program 5
Get in Shape,51,187,Obese,Foot region,Toned,Struggle to Build Muscle,1-2 years,9 to 5,Standing All Day,Program 3
Healthy Habits,86,153,Obese,Foot region,Drop Sizes,Struggle to Build Muscle,Less than 1 year,Night Shift,Active Breaks,Program 20
Healthy Habits,80,163,Slim,None,Muscular,Struggle to Build Muscle,Never,Retired,Sitting Most of Day,Program 14
Get in Shape,102,172,Slim,Head region,Drop Sizes,Struggle to Build Muscle,Less than 1 year,Night Shift,Active Breaks,Program 3
Weight Loss,65,184,Stocky,Foot region,Drop Sizes,Easily Gain and Lose,Less than 1 year,9 to 5,Sitting Most of Day,Program 12
Weight Loss,99,175,Obese,None,Athletic,Struggle to Build Muscle,More than 3 years,Flexible,Standing All Day,Program 12
Weight Loss,95,193,Obese,Leg region,Athletic,Struggle to Build Muscle,Less than 1 year,Flexible,Sitting Most of Day,Program 12
Weight Loss,69,156,Slim,None,Drop Sizes,Easily Gain and Lose,1-2 years,Night Shift,Sitting Most of Day,Program 12
Get in Shape,95,199,Medium Build,Leg region,Athletic,Easily Gain and Lose,Less than 1 year,Night Shift,Standing All Day,Program 5
Healthy Habits,108,179,Stocky,Foot region,Athletic,Easily Gain and Lose,1-2 years,9 to 5,Active Breaks,Program 14
Weight Loss,58,199,Stocky,Foot region,Drop Sizes,Gain Easily Struggle to Lose,More than 3 years,Night Shift,Active Breaks,Program 4
Healthy Habits,64,162,Medium Build,Leg region,Muscular,Easily Gain and Lose,Never,9 to 5,Active Breaks,Program 5
Healthy Habits,51,179,Medium Build,Chest region,Drop Sizes,Struggle to Build Muscle,Less than 1 year,Retired,Standing All Day,Program 14
Get in Shape,80,198,Stocky,Foot region,Toned,Struggle to Build Muscle,Never,Retired,Standing All Day,Program 3
Weight Loss,70,165,Slim,Leg region,Muscular,Struggle to Build Muscle,1-2 years,9 to 5,Active Breaks,Program 12
Weight Loss,68,192,Medium Build,Head region,Muscular,Struggle to Build Muscle,Less than 1 year,9 to 5,Standing All Day,Program 19
Get in Shape,61,184,Slim,Arm region,Toned,Gain Easily Struggle to Lose,More than 3 years,Night Shift,Standing All Day,Program 15
Healthy Habits,78,196,Stocky,Foot region,Drop Sizes,Easily Gain and Lose,Never,Night Shift,Sitting Most of Day,Program 5
Weight Loss,64,151,Medium Build,Foot region,Drop Sizes,Easily Gain and Lose,1-2 years,9 to 5,Standing All Day,Program 19
Healthy Habits,103,196,Stocky,Leg region,Athletic,Easily Gain and Lose,More than 3 years,Retired,Standing All Day,Program 20
Healthy Habits,68,192,Slim,Chest region,Toned,Gain Easily Struggle to Lose,More than 3 years,Retired,Active Breaks,Program 14
Healthy Habits,91,152,Obese,Head region,Athletic,Gain Easily Struggle to Lose,Never,Flexible,Standing All Day,Program 20
Weight Loss,62,177,Obese,Leg region,Toned,Easily Gain and Lose,Less than 1 year,9 to 5,Standing All Day,Program 4
Weight Loss,103,184,Obese,Chest region,Athletic,Easily Gain and Lose,Never,9 to 5,Sitting Most of Day,Program 12
Healthy Habits,120,177,Slim,Arm region,Muscular,Easily Gain and Lose,Never,Night Shift,Standing All Day,Program 20
Get in Shape,62,192,Obese,Chest region,Drop Sizes,Struggle to Build Muscle,More than 3 years,9 to 5,Standing All Day,Program 3
Healthy Habits,97,152,Medium Build,Head region,Muscular,Easily Gain and Lose,More than 3 years,9 to 5,Sitting Most of Day,Program 20
Weight Loss,85,161,Medium Build,Foot region,Athletic,Gain Easily Struggle to Lose,Never,Flexible,Active Breaks,Program 12
Weight Loss,96,169,Stocky,Foot region,Athletic,Easily Gain and Lose,Never,Flexible,Standing All Day,Program 4
Weight Loss,54,169,Slim,Leg region,Athletic,Gain Easily Struggle to Lose,Less than 1 year,Night Shift,Standing All Day,Program 12
Weight Loss,66,185,Slim,Arm region,Muscular,Easily Gain and Lose,Never,Flexible,Standing All Day,Program 19
Get in Shape,120,192,Obese,None,Drop Sizes,Struggle to Build Muscle,Never,Retired,Standing All Day,Program 5
Weight Loss,105,189,Stocky,Head region,Drop Sizes,Easily Gain and Lose,1-2 years,Night Shift,Sitting Most of Day,Program 19
Get in Shape,67,156,Obese,Foot region,Toned,Struggle to Build Muscle,Never,Retired,Active Breaks,Program 15
Healthy Habits,77,200,Obese,Foot region,Athletic,Struggle to Build Muscle,Less than 1 year,Night Shift,Standing All Day,Program 5
Get in Shape,101,150,Slim,Chest region,Muscular,Easily Gain and Lose,Never,Retired,Sitting Most of Day,Program 3
Healthy Habits,92,159,Stocky,None,Athletic,Easily Gain and Lose,More than 3 years,Retired,Active Breaks,Program 5
Get in Shape,118,200,Obese,Chest region,Athletic,Struggle to Build Muscle,Less than 1 year,Flexible,Active Breaks,Program 15
Healthy Habits,73,172,Stocky,Leg region,Toned,Easily Gain and Lose,More than 3 years,Night Shift,Active Breaks,Program 20
Weight Loss,120,198,Slim,Chest region,Toned,Struggle to Build Muscle,Less than 1 year,Retired,Sitting Most of Day,Program 12
Healthy Habits,88,179,Medium Build,None,Toned,Struggle to Build Muscle,More than 3 years,Retired,Standing All Day,Program 14
Healthy Habits,79,153,Slim,None,Toned,Easily Gain and Lose,1-2 years,Night Shift,Active Breaks,Program 14
Healthy Habits,85,182,Obese,Arm region,Toned,Struggle to Build Muscle,Less than 1 year,Flexible,Sitting Most of Day,Program 14
